               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 125,            0.033404,            0.025218,            0.014482,             0.76601,             0.85291,             0.80784,             0.49222,             0.03693,            0.033555,           0.0038416,            0.005908,            0.005908,            0.005908
                 126,            0.032728,            0.026201,             0.01501,             0.76066,             0.83663,              0.7913,             0.43906,            0.037677,            0.032062,           0.0034651,            0.005875,            0.005875,            0.005875
                 127,            0.035193,            0.024816,            0.012564,             0.77195,             0.78961,             0.79267,             0.42136,            0.041732,            0.032209,           0.0043765,            0.005842,            0.005842,            0.005842
                 128,            0.036379,            0.026641,            0.012402,             0.73636,             0.79232,             0.78837,             0.43632,            0.039758,            0.031451,           0.0044733,            0.005809,            0.005809,            0.005809
                 129,            0.034979,            0.028082,            0.013089,             0.61311,             0.86145,               0.826,             0.46087,            0.038625,            0.030986,           0.0053814,            0.005776,            0.005776,            0.005776
                 130,            0.031982,            0.023305,            0.013983,              0.8088,             0.59711,             0.78296,             0.44636,            0.040189,            0.034056,           0.0065491,            0.005743,            0.005743,            0.005743
                 131,            0.034657,            0.025139,            0.011983,             0.77218,             0.61858,             0.78643,             0.43169,             0.04156,             0.03269,           0.0063065,             0.00571,             0.00571,             0.00571
                 132,            0.034224,            0.024021,            0.014575,             0.75076,             0.70097,             0.76924,             0.43131,            0.039994,             0.03202,           0.0061747,            0.005677,            0.005677,            0.005677
                 133,            0.033324,            0.025986,            0.014343,             0.51355,             0.75768,             0.67874,              0.3876,            0.044211,            0.037197,           0.0073814,            0.005644,            0.005644,            0.005644
                 134,            0.032655,            0.028981,            0.013304,             0.84636,             0.68244,             0.81469,             0.47231,            0.039225,            0.031576,            0.005806,            0.005611,            0.005611,            0.005611
